model,a,b,c,x_t_minus_1,x_t_0,x_t_plus_1,curvature_contrast
Linear · c = 0,0.30471707975443135,2.045793344720864,0.0,1.7321838680625428,1.9364003042648148,2.2883394645999164,0.0738613620664148
Linear · c = 0,-1.0399841062404955,1.342777472957529,0.0,2.477848135858086,1.3432264666375224,0.3538248632472842,0.07261003291516266
Linear · c = 0,0.7504511958064572,-1.0792203499271855,0.0,-1.7291596594033143,-1.135446569361827,-0.21533192957625735,0.1632007748720412
Linear · c = 0,0.9405647163912139,-2.2537551840613457,0.0,-3.1374935099338006,-2.4389771470980675,-1.096844748992195,0.3218080176350697
Linear · c = 0,-1.9510351886538364,-4.446793256762477,0.0,-2.5708697796721776,-4.695057558240254,-6.554585001854258,0.1323301674770363
Linear · c = 0,-1.302179506862318,-0.8152432618989518,0.0,0.33377947086161797,-0.8074172641003218,-2.1585003445932056,-0.10494317276547205
Linear · c = 0,0.12784040316728537,3.6306225183711036,0.0,3.4522573200577296,3.7235778131934754,3.8094442257172947,-0.09272704030596346
Linear · c = 0,-0.3162425923435822,0.6523264071954711,0.0,1.0159761801356961,0.713800675794775,0.42850401505222463,0.008439421799185332
Linear · c = 0,-0.016801157504288795,-0.8393584290742342,0.0,-1.1387502728365617,-0.8940241669139034,-1.183191096251944,-0.2669465176303495
Linear · c = 0,-0.85304392757358,0.6976203142504593,0.0,1.5560732308437086,0.6969253684168075,0.001406227895331319,0.08181436095271244
Linear · c = 0,0.8793979748628286,-2.3414375294916643,0.0,-3.0426903454463248,-2.311021272253809,-1.5370937162383707,0.02112924141146122
Linear · c = 0,0.7777919354289483,-0.4459850440464531,0.0,-1.1510028125935408,-0.5251726896451001,0.33159799366599285,0.11547028018132616
Linear · c = 0,0.06603069756121605,0.14921620952360773,0.0,0.23110595950650684,0.0655505076251942,0.3360987029711989,0.21805182361365866
Linear · c = 0,1.1272412069680329,-0.12915097773157275,0.0,-1.15478197939576,-0.272369750301196,1.1441743484690703,0.26706593483785107
Linear · c = 0,0.4675093422520456,1.1862091825351209,0.0,0.8234847920888011,1.2014980656410195,1.5393700060830187,-0.020070666555109584
Linear · c = 0,-0.8592924628832382,0.5169678393540785,0.0,1.2473793994509812,0.43631845281862514,-0.2609354540353657,0.05690351988918263
Linear · c = 0,0.36875078408249884,1.0024890271619955,0.0,0.490394467969287,1.068115864454976,1.1849764819127355,-0.23043038951396477
Linear · c = 0,-0.9588826008289989,-1.0325584233461391,0.0,-0.10428611018296756,-1.0161112601600377,-1.6246715024163003,0.1516324538604038
Linear · c = 0,0.8784503013072725,1.3467231126158221,0.0,0.2616754629804945,1.5675252975893421,2.247649776021187,-0.31286267808850154
Linear · c = 0,-0.049925910986252896,2.4434054214359873,0.0,2.555007120124635,2.461157608444218,2.460188533179019,0.04644021820760891
Linear · c = 0,-0.18486236354526056,-1.4552242794771189,0.0,-1.293414681586161,-1.2371167522585,-1.708557314656088,-0.2638692458626244
Linear · c = 0,-0.6809295444039414,-1.3315434835718396,0.0,-0.48077875334101106,-1.428198551603793,-2.021510804935974,0.17705377246530052
Linear · c = 0,1.2225413386740303,2.0036765044803495,0.0,0.6203407829627864,2.0719300625324775,3.44298673669336,-0.04026630270440412
Linear · c = 0,-0.15452948206880215,-0.28701598004259044,0.0,-0.1440899249469164,-0.31654883484817686,-0.6087380065715816,-0.05986513091107215
Linear · c = 0,-0.4283278221631072,2.1057320880998356,0.0,2.4996660122300964,1.8668129491416066,1.5404725679289042,0.15325634093789375
Linear · c = 0,-0.3521335504882296,-0.6638035678382759,0.0,-0.277652110433676,-0.4659515881770665,-0.5945554891420801,0.029847788389188445
Linear · c = 0,0.5323091855533487,2.182568364406067,0.0,1.562271416092083,2.397863387902883,2.751440422019663,-0.24100746884700985
Linear · c = 0,0.36544406436407834,0.19722872520817827,0.0,-0.19090248616785643,0.2621178929671011,0.5719602621242506,-0.07158900498890403
